year,state_fips,state_abbr,state_name,observed_majority_cell_count,observed_majority_area_km2,rasterized_state_area_km2,state_land_area_km2,observed_majority_share_state_area,majority_dominant_code,majority_dominant_label,majority_dominant_slug,majority_dominant_cell_count,majority_dominant_area_km2,majority_dominant_share_observed,majority_dominant_share_state_area,majority_cells_agriculture,majority_cells_commercial,majority_cells_governmental,majority_cells_industrial,majority_cells_no_classified_land_use_record,majority_cells_recreational,majority_cells_residential_income,majority_cells_residential_owned,majority_cells_vacant_land,majority_area_km2_agriculture,majority_area_km2_commercial,majority_area_km2_governmental,majority_area_km2_industrial,majority_area_km2_no_classified_land_use_record,majority_area_km2_recreational,majority_area_km2_residential_income,majority_area_km2_residential_owned,majority_area_km2_vacant_land,majority_share_observed_agriculture,majority_share_observed_commercial,majority_share_observed_governmental,majority_share_observed_industrial,majority_share_observed_recreational,majority_share_observed_residential_income,majority_share_observed_residential_owned,majority_share_observed_vacant_land,majority_share_state_area_agriculture,majority_share_state_area_commercial,majority_share_state_area_governmental,majority_share_state_area_industrial,majority_share_state_area_no_classified_land_use_record,majority_share_state_area_recreational,majority_share_state_area_residential_income,majority_share_state_area_residential_owned,majority_share_state_area_vacant_land
1940,01,AL,Alabama,68675,4292.1875,133891.25,131175.460655,0.032057266624966156,RO,Residential-Owned,residential_owned,53298,3331.125,0.7760902803057881,0.02487933304080737,278.0,11576.0,175.0,25.0,2073585.0,160.0,1415.0,53298.0,1748.0,17.375,723.5,10.9375,1.5625,129599.0625,10.0,88.4375,3331.125,109.25,0.004048052420822716,0.16856206771022933,0.0025482344375682563,0.00036403349108117945,0.0023298143429195486,0.020604295595194756,0.7760902803057881,0.025453221696396067,0.0001297694957661535,0.00540363914744242,8.168943078804626e-05,1.166991868400661e-05,0.9679427333750339,7.46874795776423e-05,0.0006605173975147741,0.02487933304080737,0.0008159607143857422
1940,04,AZ,Arizona,6724,420.25,295234.5625,294360.991275,0.0014234444519008508,C,Commercial,commercial,3323,207.6875,0.49419988102320045,0.0007034660787725353,260.0,3323.0,149.0,84.0,4717029.0,49.0,393.0,2355.0,111.0,16.25,207.6875,9.3125,5.25,294814.3125,3.0625,24.5625,147.1875,6.9375,0.03866745984533016,0.49419988102320045,0.022159428911362283,0.012492563950029744,0.007287328970850684,0.05844735276621059,0.3502379535990482,0.016508030933967875,5.504098118593415e-05,0.0007034660787725353,3.1542716141169956e-05,1.7782470844686418e-05,0.9985765555480991,1.0373107992733744e-05,8.319656002335432e-05,0.0004985442718956728,2.3498265044764196e-05
1940,05,AR,Arkansas,21496,1343.5,137782.4375,134660.850501,0.009750879897156704,RO,Residential-Owned,residential_owned,18880,1180.0,0.8783029400818757,0.00856422648205799,6.0,1599.0,29.0,2.0,2183023.0,55.0,702.0,18880.0,223.0,0.375,99.9375,1.8125,0.125,136438.9375,3.4375,43.875,1180.0,13.9375,0.0002791216970599181,0.07438593226646818,0.001349088202456271,9.304056568663938e-05,0.002558615556382583,0.03265723855601042,0.8783029400818757,0.01037402307406029,2.721682144721819e-06,0.0007253282915683648,1.3154797032822125e-05,9.072273815739398e-07,0.9902491201028433,2.4948752993283343e-05,0.0003184368109324528,0.00856422648205799,0.00010115585304549427
1940,06,CA,California,102271,6391.9375,409818.125,403671.196038,0.015597010259124093,RO,Residential-Owned,residential_owned,42284,2642.75,0.41345053827575756,0.006448592287127369,2370.0,32517.0,667.0,405.0,6454819.0,604.0,21162.0,42284.0,2262.0,148.125,2032.3125,41.6875,25.3125,403426.1875,37.75,1322.625,2642.75,141.375,0.023173724711795133,0.31794936981157906,0.006521887925218292,0.003960066881129548,0.005905877521487029,0.20692082799620615,0.41345053827575756,0.022117706876827254,0.0003614408220719862,0.004959059582833238,0.00010172195287848725,6.176520377179511e-05,0.9844029897408759,9.211403229176358e-05,0.0032273462770832794,0.006448592287127369,0.00034497010106617415
1940,08,CO,Colorado,38139,2383.6875,269598.0,268418.746964,0.00884163643647208,RO,Residential-Owned,residential_owned,27491,1718.1875,0.7208107186869084,0.0063731463141417964,1675.0,5718.0,478.0,80.0,4275429.0,233.0,1673.0,27491.0,791.0,104.6875,357.375,29.875,5.0,267214.3125,14.5625,104.5625,1718.1875,49.4375,0.04391829885419125,0.1499252733422481,0.012533102598390099,0.002097590393036,0.006109232019717349,0.04386585909436535,0.7208107186869084,0.02073992501114345,0.00038830963137708737,0.0013255847595308571,0.00011081313659596881,1.8546131647860888e-05,0.9911583635635279,5.401560842439484e-05,0.00038784597808589087,0.0063731463141417964,0.00018337487666822454
1940,09,CT,Connecticut,45646,2852.875,12924.5,12541.688516,0.22073387751943982,RO,Residential-Owned,residential_owned,22487,1405.4375,0.4926390045129913,0.10874211768346938,456.0,12737.0,1208.0,6.0,161146.0,62.0,7952.0,22487.0,738.0,28.5,796.0625,75.5,0.375,10071.625,3.875,497.0,1405.4375,46.125,0.00998992244665469,0.2790386890417561,0.026464531393769444,0.00013144634798229856,0.0013582789291504184,0.17421022652587304,0.4926390045129913,0.016167900801822722,0.002205114317768579,0.06159329181012805,0.005841618631281674,2.9014662075902356e-05,0.7792661224805602,0.00029981817478432436,0.038454098804595924,0.10874211768346938,0.0035688034353359896
1940,10,DE,Delaware,5823,363.9375,5207.0625,5046.731558,0.06989305390515285,RO,Residential-Owned,residential_owned,5080,317.5,0.8724025416452,0.06097487787020033,37.0,321.0,22.0,0.0,77490.0,0.0,280.0,5080.0,83.0,2.3125,20.0625,1.375,0.0,4843.125,0.0,17.5,317.5,5.1875,0.006354113000171733,0.05512622359608449,0.0037781212433453545,0.0,0.0,0.04808517946075906,0.8724025416452,0.014253821054439293,0.0004441083624404355,0.0038529401173886427,0.00026406443172134,0.0,0.9301069460948471,0.0,0.003360820040089782,0.06097487787020033,0.0009962430833123281
1940,11,DC,District of Columbia,1669,104.3125,176.75,158.316124,0.5901697312588402,RO,Residential-Owned,residential_owned,559,34.9375,0.33493109646494906,0.19766619519094766,0.0,463.0,193.0,1.0,1159.0,48.0,314.0,559.0,91.0,0.0,28.9375,12.0625,0.0625,72.4375,3.0,19.625,34.9375,5.6875,0.0,0.2774116237267825,0.11563810665068903,0.0005991611743559018,0.028759736369083282,0.18813660874775315,0.33493109646494906,0.05452366686638706,0.0,0.1637199434229137,0.06824611032531824,0.0003536067892503536,0.40983026874115985,0.016973125884016973,0.11103253182461104,0.19766619519094766,0.03217821782178218
1940,12,FL,Florida,44525,2782.8125,150864.625,138958.484319,0.018445758904713415,RO,Residential-Owned,residential_owned,31216,1951.0,0.7010892756878159,0.012932123750017607,259.0,6683.0,886.0,195.0,2369309.0,402.0,4041.0,31216.0,843.0,16.1875,417.6875,55.375,12.1875,148081.8125,25.125,252.5625,1951.0,52.6875,0.0058169567658618755,0.1500954519932622,0.019898933183604715,0.004379562043795621,0.009028635597978663,0.09075800112296463,0.7010892756878159,0.01893318360471645,0.00010729818206222963,0.0027686245201617014,0.00036705092396577396,8.078434556808794e-05,0.9815542410952866,0.00016654003547882746,0.0016741002073879148,0.012932123750017607,0.0003492369400712725
1940,13,GA,Georgia,77980,4873.75,152571.75,149486.234922,0.03194398700939066,RO,Residential-Owned,residential_owned,60600,3787.5,0.7771223390612978,0.024824385903681384,537.0,10950.0,1213.0,59.0,2363168.0,236.0,2140.0,60600.0,2245.0,33.5625,684.375,75.8125,3.6875,147698.0,14.75,133.75,3787.5,140.3125,0.006886381123364965,0.14042062067196717,0.015555270582200565,0.0007566042575019236,0.0030264170300076942,0.02744293408566299,0.7771223390612978,0.028789433187996923,0.00021997846914648353,0.004485594482595894,0.0004968973614053716,2.4168956572891115e-05,0.9680560129906093,9.667582629156446e-05,0.0008766367299319828,0.024824385903681384,0.0009196492797650942
1940,16,ID,Idaho,21860,1366.25,216441.875,214049.923496,0.006312318260964982,RO,Residential-Owned,residential_owned,15994,999.625,0.7316559926806954,0.004618445483342814,304.0,4827.0,58.0,4.0,3441210.0,6.0,256.0,15994.0,411.0,19.0,301.6875,3.625,0.25,215075.625,0.375,16.0,999.625,25.6875,0.013906678865507777,0.2208142726440988,0.0026532479414455626,0.00018298261665141812,0.0002744739249771272,0.01171088746569076,0.7316559926806954,0.01880146386093321,8.778338295212052e-05,0.0013938499654930453,1.6748145431654573e-05,1.1550445125279015e-06,0.993687681739035,1.7325667687918522e-06,7.39228488017857e-05,0.004618445483342814,0.00011868082366224188
